Model,Main_Accuracy,Control_Accuracy,Average_Accuracy,Strict_Logical_AND,Difference_Avg_Strict,Main_Questions,Control_Questions,Valid_Pairs,Correct_Pairs
InternVL2-26B,0.7384548611111111,0.16258680555555555,0.45052083333333337,0.05147569444444444,0.39904513888888893,11520,11520,11520,593
InternVL3-2B-Instruct,0.8151041666666666,0.07934027777777777,0.4472222222222222,0.015017361111111112,0.43220486111111106,11520,11520,11520,173
InternVL3_5-1B,0.8192708333333333,0.06736111111111111,0.4433159722222222,0.030555555555555555,0.41276041666666663,11520,11520,11520,352
InternVL3-2B,0.7600694444444445,0.12048611111111111,0.44027777777777777,0.02751736111111111,0.41276041666666663,11520,11520,11520,317
InternVL2_5-2B,0.5959201388888888,0.2824652777777778,0.43919270833333335,0.10885416666666667,0.33033854166666665,11520,11520,11520,1254
InternVL2_5-4B-MPO,0.7703125,0.10633680555555555,0.43832465277777777,0.06553819444444445,0.37278645833333335,11520,11520,11520,755
llava-onevision-qwen2-7b-si-hf,0.5875868055555555,0.27925347222222224,0.43342013888888886,0.034027777777777775,0.3993923611111111,11520,11520,11520,392
InternVL2-8B,0.7408854166666666,0.12074652777777778,0.43081597222222223,0.04123263888888889,0.38958333333333334,11520,11520,11520,475
Qwen2.5-VL-7B-Instruct,0.6412326388888889,0.2154513888888889,0.42834201388888893,0.07387152777777778,0.35447048611111115,11520,11520,11520,851
llava-next-interleave-qwen-7b-dpo,0.5013020833333334,0.3519965277777778,0.4266493055555556,0.06171875,0.3649305555555556,11520,11520,11520,711
InternVL2-Llama3-76B,0.5566840277777778,0.29244791666666664,0.42456597222222225,0.11901041666666666,0.3055555555555556,11520,11520,11520,1371
InternVL3_5-14B,0.41987847222222224,0.4288537549407115,0.42436611358146686,0.19911067193675888,0.22525544164470798,11520,2024,2024,403
Qwen3-VL-8B-Instruct,0.53125,0.3151909722222222,0.42322048611111107,0.08585069444444444,0.33736979166666664,11520,11520,11520,989
InternVL3-8B-Instruct,0.7094618055555556,0.1361111111111111,0.42278645833333334,0.0796875,0.34309895833333337,11520,11520,11520,918
InternVL2_5-1B,0.7486111111111111,0.09409722222222222,0.4213541666666667,0.03689236111111111,0.3844618055555556,11520,11520,11520,425
InternVL3-9B-Instruct,0.5141493055555556,0.3271701388888889,0.42065972222222225,0.07413194444444444,0.3465277777777778,11520,11520,11520,854
Mini-InternVL-Chat-4B-V1-5,0.7977430555555556,0.04244791666666667,0.42009548611111114,0.007465277777777778,0.41263020833333336,11520,11520,11520,86
InternVL3_5-4B-Instruct,0.5706597222222223,0.26510416666666664,0.4178819444444445,0.08133680555555556,0.33654513888888893,11520,11520,11520,937
InternVL3-9B,0.5046006944444444,0.32881944444444444,0.41671006944444444,0.07899305555555555,0.33771701388888886,11520,11520,11520,910
VLAA-Thinker-Qwen2VL-2B,0.48602430555555554,0.3420138888888889,0.4140190972222222,0.053125,0.3608940972222222,11520,11520,11520,612
InternVL2-4B,0.7826388888888889,0.0421875,0.41241319444444446,0.017621527777777778,0.3947916666666667,11520,11520,11520,203
InternVL3-8B,0.65546875,0.1673611111111111,0.41141493055555556,0.08116319444444445,0.33025173611111114,11520,11520,11520,935
InternVL3_5-4B,0.5903645833333333,0.22430555555555556,0.4073350694444444,0.08732638888888888,0.32000868055555554,11520,11520,11520,1006
Phi-3-vision-128k-instruct,0.5761284722222222,0.23541666666666666,0.4057725694444444,0.06276041666666667,0.34301215277777775,11520,11520,11520,723
InternVL2_5-4B,0.7265625,0.08055555555555556,0.4035590277777778,0.046614583333333334,0.35694444444444445,11520,11520,11520,537
VLAA-Thinker-Qwen2.5VL-7B,0.54765625,0.2556423611111111,0.40164930555555556,0.10555555555555556,0.29609375,11520,11520,11520,1216
InternVL2_5-26B,0.47664930555555557,0.32421875,0.4004340277777778,0.09600694444444445,0.30442708333333335,11520,11520,11520,1106
Qwen2-VL-2B-Instruct,0.44730902777777776,0.3467881944444444,0.3970486111111111,0.04331597222222222,0.3537326388888889,11520,11520,11520,499
InternVL3-78B-Instruct,0.4526909722222222,0.3392361111111111,0.3959635416666667,0.15138888888888888,0.24457465277777782,11520,11520,11520,1744
InternVL3-78B,0.43038194444444444,0.3590277777777778,0.39470486111111114,0.1597222222222222,0.23498263888888893,11520,11520,11520,1840
VLAA-Thinker-Qwen2VL-7B,0.5268229166666667,0.2568576388888889,0.3918402777777778,0.07838541666666667,0.31345486111111115,11520,11520,11520,903
InternVL3_5-14B-Instruct,0.42578125,0.353125,0.389453125,0.09461805555555555,0.2948350694444445,11520,11520,11520,1090
InternVL3_5-38B,0.5868923611111111,0.1915798611111111,0.3892361111111111,0.11284722222222222,0.2763888888888889,11520,11520,11520,1300
InternVL3_5-4B-MPO,0.5259548611111111,0.25078125,0.38836805555555554,0.07673611111111112,0.3116319444444444,11520,11520,11520,884
Qwen3-VL-2B-Instruct,0.5081597222222223,0.2598958333333333,0.3840277777777778,0.056163194444444446,0.32786458333333335,11520,11520,11520,647
llava-onevision-qwen2-7b-ov-hf,0.4735243055555556,0.290625,0.3820746527777778,0.02065972222222222,0.36141493055555557,11520,11520,11520,238
llava-onevision-qwen2-7b-ov-chat-hf,0.47638888888888886,0.28402777777777777,0.3802083333333333,0.020052083333333335,0.36015624999999996,11520,11520,11520,231
InternVL-Chat-V1-5,0.5210069444444444,0.23637152777777778,0.3786892361111111,0.06762152777777777,0.3110677083333333,11520,11520,11520,779
InternVL3_5-2B,0.6396701388888889,0.11614583333333334,0.3779079861111111,0.04227430555555556,0.33563368055555554,11520,11520,11520,487
InternVL3_5-2B-Instruct,0.6284722222222222,0.12317708333333334,0.37582465277777777,0.04461805555555556,0.33120659722222223,11520,11520,11520,514
xgen-mm-phi3-mini-instruct-interleave-r-v1.5,0.5761284722222222,0.17352430555555556,0.37482638888888886,0.02326388888888889,0.3515625,11520,11520,11520,268
InternVL3_5-2B-MPO,0.6143229166666667,0.12760416666666666,0.3709635416666667,0.043055555555555555,0.3279079861111111,11520,11520,11520,496
InternVL2_5-26B-MPO,0.3480034722222222,0.3807291666666667,0.3643663194444444,0.09696180555555556,0.26740451388888886,11520,11520,11520,1117
Mini-InternVL-Chat-2B-V1-5,0.4231770833333333,0.2974826388888889,0.3603298611111111,0.02673611111111111,0.33359374999999997,11520,11520,11520,308
Phi-4-multimodal-instruct,0.33793402777777776,0.3693576388888889,0.3536458333333333,0.05451388888888889,0.29913194444444446,11520,11520,11520,628
InternVL2_5-8B,0.47282986111111114,0.2309027777777778,0.35186631944444446,0.05824652777777778,0.2936197916666667,11520,11520,11520,671
Qwen3-VL-4B-Instruct,0.49053819444444446,0.20833333333333334,0.3494357638888889,0.06770833333333333,0.2817274305555556,11520,11520,11520,780
Qwen3-VL-8B-Thinking,0.5291666666666667,0.16310763888888888,0.3461371527777778,0.07421875,0.2719184027777778,11520,11520,11520,855
InternVL3_5-GPT-OSS-20B-A4B-Preview,0.5701388888888889,0.11614583333333334,0.34314236111111107,0.04635416666666667,0.2967881944444444,11520,11520,11520,534
VLAA-Thinker-Qwen2.5VL-3B,0.36440972222222223,0.31657986111111114,0.3404947916666667,0.09131944444444444,0.24917534722222223,11520,11520,11520,1052
Mantis-llava-7b,0.3145833333333333,0.3620659722222222,0.3383246527777778,0.04227430555555556,0.29605034722222223,11520,11520,11520,487
InternVL2_5-8B-MPO,0.37526041666666665,0.29131944444444446,0.33328993055555556,0.07421875,0.25907118055555556,11520,11520,11520,855
InternVL2_5-2B-MPO,0.3220486111111111,0.3423611111111111,0.33220486111111114,0.04921875,0.28298611111111116,11520,11520,11520,567
SmolVLM-Instruct,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
llava-v1.6-vicuna-7b-hf,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
llava-v1.6-vicuna-13b-hf,0.3333333333333333,0.3284722222222222,0.33090277777777777,0.0,0.33090277777777777,11520,11520,11520,0
